Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
46,Asturian culture and events in Madrid____,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",44,Asturian cow photo not real image____,45,"Llingua Asturiana Xornaes, Women's Race in Valencia, Lack of official status of Asturian, 19th Women's Race in Madrid____",1.1833490271519873
45,"Llingua Asturiana Xornaes, Women's Race in Valencia, Lack of official status of Asturian, 19th Women's Race in Madrid____","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 18, 19, 20, 21, 22, 23]",28,"Dairy farm controversy surrounding Valverde, Madrid fans, and insults to Baena's family____",43,Women's Race in Valencia and Madrid in support of breast cancer____,1.0848490544247478
44,Asturian cow photo not real image____,"[12, 14, 16, 17]",12,Food and beverage products from Central Lechera Asturiana____,42,Asturian cow photo not real image____,1.0283906553151445
43,Women's Race in Valencia and Madrid in support of breast cancer____,"[0, 1, 3, 5, 6, 7, 8, 9, 10, 11, 13, 15, 18, 20, 21, 22, 23]",40,Madrid Women's Race against Breast Cancer____,39,Asturian politics and language revitalization____,0.9822660788735296
42,Asturian cow photo not real image____,"[14, 16, 17]",41,Fraudulent sale of Asturian cow field photo____,16,"The Asturian lifeguard's journey from being investigated for ""migrant trafficking"" to testifying against Salvini on the bench____",0.9637418077986217
41,Fraudulent sale of Asturian cow field photo____,"[14, 17]",17,Asturian cider fraud and non-compliance with DOP regulations____,14,Asturian cow photo controversy____,0.8938808350981056
40,Madrid Women's Race against Breast Cancer____,"[6, 11, 15, 18, 20, 23]",38,Milk Asturiana and Itzulia2023____,37,Women's Race against Breast Cancer in Madrid____,0.8915838202343447
39,Asturian politics and language revitalization____,"[0, 1, 3, 5, 7, 8, 9, 10, 13, 21, 22]",36,"First Xornaes of Llingua Asturian, Best Cachopo in Gijón, Reindustrialization of Spain, Provisional candidatures of the coalition d'IX, IAS and Más País____",22,Registration campaign for Asturian language certification tests in 2023 (Asturias)____,0.8691907364335704
38,Milk Asturiana and Itzulia2023____,"[6, 18, 20]",18,Vingegaard attacks in La Asturiana and beats Landa in Itzulia2023____,31,Milk Lechera Central Asturiana____,0.8172656420976452
37,Women's Race against Breast Cancer in Madrid____,"[11, 15, 23]",35,"Women's Race Against Breast Cancer in Madrid, 19th Edition____",23,Lourdes Álvarez - National Prize for Asturian Literature - Documentary____,0.8105786550115298
36,"First Xornaes of Llingua Asturian, Best Cachopo in Gijón, Reindustrialization of Spain, Provisional candidatures of the coalition d'IX, IAS and Más País____","[0, 1, 3, 5, 7, 8, 9, 10, 13, 21]",21,Resemblance of young Asturian woman to Meryl Streep and her dream to imitate Spider-Man meme____,34,Asturian recognition and demonstrations for official status____,0.7742024059786001
35,"Women's Race Against Breast Cancer in Madrid, 19th Edition____","[11, 15]",15,Women's Race Against Breast Cancer in Madrid____,11,Livestock competition and exhibition in Asturias____,0.7580796883732577
34,Asturian recognition and demonstrations for official status____,"[0, 1, 3, 5, 7, 8, 9, 10, 13]",33,"Asturian sports, gourmet food, and political news in Asturias____",13,Healthcare Strike in Asturias____,0.7326871576651652
33,"Asturian sports, gourmet food, and political news in Asturias____","[0, 1, 3, 5, 7, 8, 9, 10]",3,Spanish Online Mountain Racing Championships____,32,Asturian food and culture____,0.6641520063288793
32,Asturian food and culture____,"[0, 1, 5, 7, 8, 9, 10]",27,Asturian fabada recipe____,30,Official demonstration in Asturias and the use of Asturian toponymy____,0.6386996886248844
31,Milk Lechera Central Asturiana____,"[6, 20]",20,Central Lechera Asturiana as new sponsor of the Kings League and the issue with their new stopper design____,6,"Leche Asturiana Hospitality 1.5 Liter Bottle, Pack of 6 Units____",0.6264466260888919
30,Official demonstration in Asturias and the use of Asturian toponymy____,"[1, 7, 8, 9, 10]",29,Official demonstration for the Asturian language and toponymy in Asturias____,8,Asturian Industry Sales Growth and Production Decline____,0.6188039050505103
29,Official demonstration for the Asturian language and toponymy in Asturias____,"[1, 7, 9, 10]",25,Asturias politics____,26,Asturian Language and Cultural Celebrations____,0.552245346681577
28,"Dairy farm controversy surrounding Valverde, Madrid fans, and insults to Baena's family____","[2, 4, 19]",19,"Valverde, Baena, and the Controversy at the Dairy Farm____",24,League rivalry between Barça and Madrid____,0.5296608819407321
27,Asturian fabada recipe____,"[0, 5]",5,Asturian versions of films and being proud to be Asturian____,0,Asturian fabada recipe____,0.5085243603749399
26,Asturian Language and Cultural Celebrations____,"[1, 9]",9,Official recognition of the Asturian language____,1,Asturian music performances and demonstrations____,0.49000764884200687
25,Asturias politics____,"[7, 10]",10,Role-playing games in Asturias____,7,Asturian Socialist Federation and Left Coalition in the Asturian Presidency Election____,0.4329577211406721
24,League rivalry between Barça and Madrid____,"[2, 4]",2,The Dairy Farm____,4,Madrid's controversy over Vinicius and the league win____,0.392363356418194
