Topic,Count,Name
-1,1281,-1_The story of the Asturian woman who reversed her change of sex and wrote a guide for teenagers due to bullying___
0,248,0_Asturian fabada recipe___
1,159,1_Asturian music performances and demonstrations___
2,159,2_The Dairy Farm___
3,157,3_Spanish Online Mountain Racing Championships___
4,147,4_Madrid's controversy over Vinicius and the league win___
5,108,5_Asturian versions of films and being proud to be Asturian___
6,97,"6_Leche Asturiana Hospitality 1.5 Liter Bottle, Pack of 6 Units___"
7,91,7_Asturian Socialist Federation and Left Coalition in the Asturian Presidency Election___
8,89,8_Asturian Industry Sales Growth and Production Decline___
9,88,9_Official recognition of the Asturian language___
10,80,10_Role-playing games in Asturias___
11,75,11_Livestock competition and exhibition in Asturias___
12,70,12_Food and beverage products from Central Lechera Asturiana___
13,67,13_Healthcare Strike in Asturias___
14,63,14_Asturian cow photo controversy___
15,57,15_Women's Race Against Breast Cancer in Madrid___
16,50,"16_The Asturian lifeguard's journey from being investigated for ""migrant trafficking"" to testifying against Salvini on the bench___"
17,49,17_Asturian cider fraud and non-compliance with DOP regulations___
18,47,18_Vingegaard attacks in La Asturiana and beats Landa in Itzulia2023___
19,42,"19_Valverde, Baena, and the Controversy at the Dairy Farm___"
20,39,20_Central Lechera Asturiana as new sponsor of the Kings League and the issue with their new stopper design___
21,39,21_Resemblance of young Asturian woman to Meryl Streep and her dream to imitate Spider-Man meme___
22,34,22_Registration campaign for Asturian language certification tests in 2023 (Asturias)___
23,32,23_Lourdes Álvarez - National Prize for Asturian Literature - Documentary___
