id,date,user_username,content,content_translation,image_description,extended_text,retweet_count,reply_count,like_count,quote_count,impression_count,topic,negative_score,neutral_score,positive_score,x,y
0,2023-04-14,jeordez93,""" Un encontronazo"". Presunción de inocencia siempre, pero el blanqueamiento a este individuo es de vergüenza ajena. La Central Lechera al servicio del Mandamás, nada nuevo. https://t.co/AT3sr9YtMk","“A big encounter.” Presumption of innocence always, but whitening this individual is shameful to others. The Dairy Plant at the service of the Mandamás, nothing new. https://t.co/AT3sr9YtMk",,"“A big encounter.” Presumption of innocence always, but whitening this individual is shameful to others. The Dairy Plant at the service of the Mandamás, nothing new. https://t.co/AT3sr9YtMk",0.0,1.0,0.0,0.0,97.0,0,0.8656740188598633,0.1272967904806137,0.007029206492006779,10.335144,0.5716635
1,2023-04-14,Cristobal_chass,"Hoy @QSetien tenia la oportunidad de defender a @alexbbaena de las aves carroñeras de la central lechera y dice que NO quiere hablar….no lo entiendo, muy mal!","Today @QSetien had the opportunity to defend @alexbbaena from the scavenger birds of the dairy farm and he says he DOESN'T want to talk... I don't understand, too bad!",,"Today @QSetien had the opportunity to defend @alexbbaena from the scavenger birds of the dairy farm and he says he DOESN'T want to talk... I don't understand, too bad!",1.0,3.0,9.0,0.0,929.0,0,0.8969009518623352,0.09668493270874023,0.006414083763957024,10.324381,0.7895706
2,2023-04-14,raquelggc,"El tapón de la central lechera asturiana provocará pérdidas.
Es hora de rectificar https://t.co/5T5S1fbSWq","The stopper of the Asturian dairy plant will cause losses.
It's time to rectify https://t.co/5T5S1fbSWq",,"The stopper of the Asturian dairy plant will cause losses.
It's time to rectify https://t.co/5T5S1fbSWq",0.0,0.0,3.0,0.0,241.0,0,0.7995367646217346,0.1917499154806137,0.008713364601135254,7.956337,-0.26367307
3,2023-04-14,Nostresport,"#MareaRosa 

👏 La Carrera de la Mujer Central Lechera Asturiana reunirá a 8000 participantes el 23 de abril en València | @CarreraMujer 

Las inscripciones aún están disponibles en https://t.co/a52iAw3Ggq","#MareaRosa 

👏 The Central Lechera Asturiana Women's Race will bring together 8000 participants on April 23 in Valencia | @CarreraMujer 

Registrations are still available at https://t.co/a52iAw3Ggq",,"#MareaRosa 

👏 The Central Lechera Asturiana Women's Race will bring together 8000 participants on April 23 in Valencia | @CarreraMujer 

Registrations are still available at https://t.co/a52iAw3Ggq",0.0,0.0,3.0,0.0,336.0,3,0.0035571628250181675,0.4692275822162628,0.527215301990509,7.8317657,9.362506
4,2023-04-16,soloutil,Artículo sobre CENTRAL LECHERA ASTURIANA SOCIEDAD AGRARIA DE TRANSFORMACION NUM 471 LIMITADA https://t.co/U4kTb5PlxZ,Article about CENTRAL LECHERA ASTURIANA AGRARIAN TRANSFORMATION SOCIETY NO. 471 LIMITED https://t.co/U4kTb5PlxZ,,Article about CENTRAL LECHERA ASTURIANA AGRARIAN TRANSFORMATION SOCIETY NO. 471 LIMITED https://t.co/U4kTb5PlxZ,0.0,0.0,0.0,0.0,1.0,1,0.04003318399190903,0.9211575984954834,0.03880928084254265,6.291268,7.804645
5,2023-04-15,Catalunyalleida,Yo creo que Ceballos va a ir al párking y le va a dar un puñetazo a un jugador del Cádiz para quejarse que lan ha dado un guantazo en la cara que no ha existido  pero como la central lechera dice que sí existe agresión.. https://t.co/uYIlOdoKM1,I think Ceballos is going to go to the parking lot and he's going to punch a Cadiz player to complain that Lan has hit the face that hasn't existed but like the dairy plant he says there is aggression. https://t.co/uYIlOdoKM1,,I think Ceballos is going to go to the parking lot and he's going to punch a Cadiz player to complain that Lan has hit the face that hasn't existed but like the dairy plant he says there is aggression. https://t.co/uYIlOdoKM1,0.0,0.0,0.0,0.0,31.0,-1,0.5463327169418335,0.42648521065711975,0.027182042598724365,10.055014,3.968368
6,2023-04-15,roig_ross,"Me encanta ver la gente rabiando con el tema Negreira. Que acepten que les han tomado el pelo desde la Central lechera y q paren de hacer el ridículo. Ni una sola prueba de que los 7M hayan servido para condicionar algo. Eso sí, con ganas de saber quién metía mano a la caja.","I love seeing people raving about the Negreira theme. Let them accept that they have been fooled by the Dairy Plant and that they stop making a fool of themselves. Not a single proof that the 7M have served to condition anything. Of course, wanting to know who was getting their hands on the box.",,"I love seeing people raving about the Negreira theme. Let them accept that they have been fooled by the Dairy Plant and that they stop making a fool of themselves. Not a single proof that the 7M have served to condition anything. Of course, wanting to know who was getting their hands on the box.",0.0,1.0,0.0,0.0,17.0,6,0.506941020488739,0.3786344528198242,0.11442454159259796,9.994615,3.463074
7,2023-04-15,DaiAkechi,Los nuevos tapones de central lechera asturiana son una 💩 https://t.co/uzuVz2kPA2,The new Asturian dairy plant stoppers are a 💩 https://t.co/uzuVz2kPA2,,The new Asturian dairy plant stoppers are a 💩 https://t.co/uzuVz2kPA2,1.0,0.0,2.0,0.0,51.0,0,0.9264867901802063,0.06716261059045792,0.006350627169013023,7.94447,-0.20017655
8,2023-04-15,Jesus50785795,"haber la central lechera de Madrid, cuando diréis algo del fútbol  femenino del barsa, campeona de Europa y en semifinales de la próxima","Have the milk center of Madrid, when will you say something about women's football of Barsa, European champion and in the semifinals of the next",,"Have the milk center of Madrid, when will you say something about women's football of Barsa, European champion and in the semifinals of the next",0.0,0.0,0.0,0.0,27.0,-1,0.21084387600421906,0.7295024991035461,0.05965361371636391,8.997082,4.442649
9,2023-04-15,lorapalospanas,“Tras lo ocurrido” porque decir tras la agresión de Valverde seria posicionarte en contra de Florentino y la central lechera https://t.co/RFIzSOmiqb,“After what happened” because to say after Valverde's aggression would be to position yourself against Florentino and the dairy farm https://t.co/RFIzSOmiqb,,“After what happened” because to say after Valverde's aggression would be to position yourself against Florentino and the dairy farm https://t.co/RFIzSOmiqb,0.0,0.0,13.0,0.0,396.0,2,0.3862721920013428,0.6000999212265015,0.013627924956381321,12.05461,3.1781952
