topic,text
-1,For a moment it amuses me to think about the cows that my aunt has and that they give milk to the Asturian Dairy Plant and that Ibai and Piqué have presented themselves at her farm. https://t.co/flI7jOsOb9
-1,"Tractors will return to the streets of Oviedo on the 16th in a new livestock protest .- Tuesday, May 2, 2023, 03:25









 


 
 




 
 










 There will be a tractor unit. “This time, no limits.” It will be on May 16 and in Oviedo. The spokespersons of the unions and agrarian entities that signed the 'rural contract', the manifesto with seven requests that seek to be signed by all the groups represented at the General Meeting -SOE, PP, Ciudadanos, Podemos, IU, Foro and Vox-, have given the go-ahead to the mobilization after failing to achieve unanimous support for their proposal.


Yesterday was a key day, since the seven-day deadline given by the authors of the 'rural contract' - the Asturian Rural Union (URA), the Union of Asturian Peasants (UCA), the Union of Agricultural Sectors of Asturias (Usaga), the Coordinator of Farmer and Livestock Organizations (COAG) and the Agricultural Association of Young Farmers (Asaja) - for the signing of the document."
-1,"It's wise to rectify. Thank you for not being silent. 
The story of the Asturian woman who reversed her change of sex and has now written a guide for teenagers: “I rejected my body because of bullying” https://t.co/cgEImFcNBt via @lanuevaespana"
-1,"The story of the Asturian woman who reversed her change of sex: “I rejected my body because of bullying” https://t.co/KKEVKlYEIF THERE ARE FEW REAL ONES, OTHERS WRONG. IT IS IMPORTANT TO KNOW THIS CASE AND OTHERS LIKE IT. When you reach a point, there is no going back."
-1,The story of the Asturian woman who reversed her change of sex and has now written a guide for teenagers: “I rejected my body because of bullying” https://t.co/O7sJX0yOrn via @lanuevaespana
-1,The story of the Asturian woman who reversed her change of sex and has now written a guide for teenagers: “I rejected my body because of bullying” https://t.co/hcJCZrTFue via @lanuevaespana
-1,"The story of the Asturian woman who reversed her change of sex and has now written a guide for teenagers: “I rejected my body because of bullying”.

https://t.co/BIwMBOev3T via @lanuevaespana"
-1,The story of the Asturian woman who reversed her change of sex and has now written a guide for teenagers: “I rejected my body because of bullying” https://t.co/9fp9K5J8d2 via @lanuevaespana
-1,"Barbón (PSE) is committed to creating an autonomous Asturian song award .- OVIEDO, 30 (EUROPA PRESS)
 The president of the Asturian Government and candidate for re-election by the Socialist Party, Adrián Barbón, has committed himself this Sunday to creating an autonomous award for Asturian songs in the next legislature. This was stated by the socialist leader after attending the final of the Asturian Song Competition 'Conceyu de Siero', which was held this morning at the Teatro Auditorio de Pola de Siero. The socialist explained that his commitment comes after the proposal of the Friends of Tradition Folklore Association (Afatra)."
-1,"Barbón (PSE) is committed to creating an autonomous Asturian song award .- OVIEDO, 30 Apr. (EUROPA PRESS) -

The president of the Asturian Government and candidate for re-election by the Socialist Party, Adrián Barbón, has committed himself this Sunday to creating an autonomous award for Asturian songs in the next legislature.

This was stated by the socialist leader after attending the final of the Asturian Song Competition 'Conceyu de Siero', which was held this morning at the Teatro Auditorio de Pola de Siero.

The socialist explained that his commitment comes after the proposal of the Friends of Tradition Folklore Association (Afatra)."
0,"Fabada Asturiana El Trasgu Restaurant
Plaza Palmas and Aguadulce 
Friday and Saturday 12 to 9
Sunday 11 to 7
Book or ask Whatsapp 8331170914 #Tampico #Madero #Altamira https://t.co/94TnCgcxA2"
0,"Asturian bean stew 
El Trasgu Restaurant
Plaza Palmas and Aguadulce 
We are open from Tuesday to Sunday
Book or ask Whatsapp 8331170914 #Tampico #Madero #Altamira https://t.co/dP9WMHV6n5"
0,"THE BEST RECIPES FOR STEWS AND STEWS 👍💯❤️

 Asturian bean stew in JRD pot Asturian bean stew in JRD pot. When cold, what you want are spoon dishes, so yesterday I prepared an Asturian bean fabada with chorizo and chorizo... https://t.co/xngoRbkVCP"
0,"THE BEST RECIPES FOR STEWS AND STEWS 👍💯❤️

 Asturian bean stew in JRD pot Asturian bean stew in JRD pot. When cold, what you want are spoon dishes, so yesterday I prepared an Asturian bean fabada with chorizo and chorizo... https://t.co/9sv4Ln90OC"
0,"THE BEST RECIPES FOR STEWS AND STEWS 👍💯❤️

 Asturian bean stew in JRD pot Asturian bean stew in JRD pot. When cold, what you want are spoon dishes, so yesterday I prepared an Asturian bean fabada with chorizo and chorizo... https://t.co/kfhRnj2E2B"
0,"THE BEST RECIPES FOR STEWS AND STEWS 👍💯❤️

 Asturian bean stew in JRD pot Asturian bean stew in JRD pot. When cold, what you want are spoon dishes, so yesterday I prepared an Asturian bean fabada with chorizo and chorizo... https://t.co/vrjln0oC1l"
0,"THE BEST RECIPES FOR STEWS AND STEWS 👍💯❤️

 This Asturian fabada recipe is for dipping bread... Asturian fabada, or simply fabada, is the traditional dish of Asturian cuisine made with Asturian faba (fabes),... https://t.co/t4K8Baqphk"
0,"THE BEST RECIPES FOR STEWS AND STEWS 👍💯❤️

 This Asturian fabada recipe is for dipping bread... Asturian fabada, or simply fabada, is the traditional dish of Asturian cuisine made with Asturian faba (fabes),... https://t.co/RgIQaopZKj"
0,"THE BEST RECIPES FOR STEWS AND STEWS 👍💯❤️

 This Asturian fabada recipe is for dipping bread... Asturian fabada, or simply fabada, is the traditional dish of Asturian cuisine made with Asturian faba (fabes),... https://t.co/XW8NUVLxEx"
0,"THE BEST RECIPES FOR STEWS AND STEWS 👍💯❤️

 This Asturian fabada recipe is for dipping bread... Asturian fabada, or simply fabada, is the traditional dish of Asturian cuisine made with Asturian faba (fabes),... https://t.co/UOhtqQi5oS"
1,"😱 Last few hours to get your place to meet @_marlonoficial_ in our #EncuentrosELPAÍS!
👉🏼 Tell us what you would ask the Asturian band if you could interview them and enjoy this unique virtual event.
Don't miss it! 🔽 https://t.co/UYmpl4EKbU"
1,"😱 Last few hours to get your place to meet @_marlonoficial_ in our #EncuentrosELPAÍS!
👉🏼 Tell us what you would ask the Asturian band if you could interview them and enjoy this unique virtual event.
Don't miss it! 🔽 https://t.co/UYmpl4EKbU"
1,"😱 Last few hours to get your place to meet @_marlonoficial_ in our #EncuentrosELPAÍS!
👉🏼 Tell us what you would ask the Asturian band if you could interview them and enjoy this unique virtual event.
Don't miss it! 🔽 https://t.co/UYmpl4EKbU"
1,"😱 Last few hours to get your place to meet @_marlonoficial_ in our #EncuentrosELPAÍS!
👉🏼 Tell us what you would ask the Asturian band if you could interview them and enjoy this unique virtual event.
Don't miss it! 🔽 https://t.co/UYmpl4EKbU"
1,"The “Dixie Patrol” travels on Old Sunday to celebrate Jazz Day .- On Sunday the 30th, International Jazz Day is celebrated and will celebrate it in the New Orleans style. A “marching band”, in the manner of those from the French Quarter, will travel through the streets of the Old Town starting at 12.30 p.m., to meet in the Plaza del Paraguas. The Asturian band “Patrol Dixie”, an octet of wind and percussion, will be in charge of the parade, which also marks the starting signal for a new edition of the Vetusta Jazz festival. 
 
 The “Dixie Patrol” is a group of veteran Asturian musicians, hardened in a thousand battles, who have come together to pay homage to American music from the beginning of the 20th century."
1,"This Sunday starting at 21:00 we are waiting for you with @_marlonoficial_ on our @radio5_rne stage. The Asturian band stops at the Open, in the middle of the #AmoresDeEsos tour that has led them to be one of the leading pop groups in our country. https://t.co/ollyhkGwJt"
1,"Marisa Valle Roso will perform in Albacete next Saturday .- The Asturian artist Marisa Valle Roso continues her tour with GPS with a concert next Saturday, May 6, at the Ea! Teatro de Albacete, starting at 9 p.m.
 
 
Author and interpreter of her own story, Marisa Valle Roso takes Asturian folklore to another level. Passionate about her roots, from a very young age she was interested in the Asturian tune, which influenced her first albums.
 
Her desire to continue learning leads her to try other types of folklore, genres and styles, and it evolves in her albums, as can be seen in 2017's' Conscious'."
1,"Letter, Ún de Grao, Alicia Álvarez and David Varela are going to perform in an official demonstration .- The demonstration for the officiality of the Asturian language and the Galician-Asturian language will count the performances of
Ún de Grao, Alicia Álvarez and David Varela 
and 
Missive
 to put Ramu to the call.

 
 The march, which entama the Xunta Pola Defensa de la Llingua Asturiana (XDLA) on Día de les Lletres, will be held this Saturday, May 6 with a start at 
12.00 hours
 of the North d'Uviéu Station.

 
 The march will cross the cai Uría to end up in the Plaza de La Escandalera, where the speech of the call will be read, which the actress will be in charge of 
Natalia Suárez Rios
, and where the musical performances will be held."
1,"Lada's “La Flor” is celebrating its big day today with the act of “opening the waters” .- The festivities of “La Flor” in Lada are celebrating their big day today. From 11 o'clock there will be Asturian music in the streets. At noon, the mass will begin, sung by the Carmen Choir, after which the procession will be held, which will feature the dances of the group “L'Enguedeyu”. 
 
 
 At 1.30 p.m., it will be the turn of one of the most traditional events of the festivities, the “opening of waters” in the “Fuente del Güevu”, the spring located in the Langrean district. After this event, there will be the vermouth session, with music."
1,"Letter, Ún de Grao, Alicia Álvarez and David Varela are going to perform an official demonstration .- Poster of the demonstration for the official demonstration. 
XDLA.
 
 
03 May 2023
 . Updated at 10:17 p.m.
 
The demonstration for the official status of the Asturian language and the Galician-Asturian language will include performances by Ún de Grao, Alicia Álvarez and David Varela and Misiva to put the Ramu to the call.
 
The march, which entama the Xunta Pola Defensa de la Llingua Asturiana (XDLA) on Día de les Lletres, will be held this Saturday, May 6 with departure at 12 noon from the North Station of Uviéu.
 
The march will cross the cai Uría to end up in the Plaza de La Escandalera, where the speech of the call will be read, which actress Natalia Suárez Ríos will be in charge of, and where the musical performances will be held."
2,The dairy farm with Florentino at the helm has already started. They're not going to stop.
2,"Alex Baena, it doesn't matter if three months ago you said or didn't say what they say, the fact is that you have to justify if or if the aggression and the dairy farm has already started the machinery to work, there is only one victim here and they are the same as always."
2,The dairy farm at its best https://t.co/0nbW0QyvjE
2,The dairy farm 😂😂😂😂 https://t.co/XBtbOiRImu
2,The Asturian dairy farm https://t.co/VYHXtBjfoV
2,The dairy farm and so on https://t.co/x8ij8efgWN
2,The dairy farm 🥛 https://t.co/QZ0cz7UtRK
2,The dairy farm and so on https://t.co/klzPGOUtuW
2,The Asturian dairy farm https://t.co/HHrA8Cc0Ag
2,"Well, now the people at the dairy farm don't like the reports..."
3,An Asturian national team made up of players from clubs only from both cities won the Spanish Regional Championship a hundred years ago https://t.co/CWEk7HIGz4
